,gene_id,tpm_0,tpm_1,tpm_2,tpm_3,tpm_4,tpm_5,tpm_6,tpm_7,tpm_8,tpm_9,tpm_10,tpm_11,tpm_12,tpm_13,tpm_14,tpm_15,tpm_16,tpm_17,tpm_18,tpm_19,tpm_20,tpm_21,tpm_22,tpm_23,tpm_24,tpm_25,tpm_26,tpm_27,tpm_28,tpm_29,tpm_30,tpm_31,tpm_32,tpm_33,tpm_34,tpm_35,tpm_36,tpm_37,tpm_38,tpm_39,tpm_40,tpm_41,tpm_42,tpm_43,tpm_44,tpm_45,tpm_46,tpm_47,tpm_48,tpm_49,tpm_50,tpm_51,tpm_52,tpm_53,tpm_54,tpm_55,tpm_56,tpm_57,tpm_58,tpm_59,tpm_60,tpm_61,tpm_62,tpm_63,tpm_64,tpm_65,tpm_66,tpm_67,tpm_68,tpm_69,tpm_70,tpm_71,tpm_72,tpm_73,tpm_74,tpm_75,tpm_76,tpm_77,tpm_78,tpm_79,tpm_80,tpm_81,tpm_82,tpm_83,tpm_84,tpm_85,tpm_86,tpm_87,tpm_88,tpm_89,tpm_90,tpm_91,tpm_92,tpm_93,tpm_94,tpm_95,tpm_96,tpm_97,tpm_98,tpm_99,tpm_100,tpm_101,tpm_102,tpm_103,tpm_104,tpm_105,tpm_106,tpm_107,tpm_108,tpm_109,tpm_110,tpm_111,tpm_112,tpm_113,tpm_114,tpm_115,tpm_116,tpm_117,tpm_118,tpm_119,tpm_120,tpm_121,tpm_122,tpm_123,tpm_124,tpm_125,tpm_126,tpm_127,tpm_128,tpm_129,tpm_130,tpm_131,tpm_132,tpm_133,tpm_134,tpm_135,tpm_136,tpm_137,tpm_138,tpm_139,tpm_140,tpm_141,tpm_142,tpm_143,tpm_144,tpm_145,tpm_146,tpm_147,tpm_148,tpm_149,tpm_150,tpm_151,tpm_152,tpm_153,tpm_154,tpm_155,tpm_156,tpm_157,tpm_158,tpm_159,tpm_160,tpm_161,tpm_162,tpm_163,tpm_164,tpm_165,tpm_166,tpm_167,tpm_168,tpm_169,tpm_170
0,ENSG00000118976,0.1785,0.215,0.0762,0.0995,0.0636,0.1434,0.053,0.0953,0.1415,0.1596,0.0701,0.2258,0.1159,0.2455,0.0723,0.0,0.0904,0.2244,0.2921,0.1894,0.1793,0.1334,0.3004,0.1474,0.1588,0.0559,0.0245,0.1103,0.2186,0.0239,0.0728,0.0674,0.0837,0.1675,0.2149,0.2961,0.0803,7.7393,0.1335,0.1379,0.2076,0.0737,0.0743,0.1334,0.0536,0.27,0.1852,0.043,0.1894,0.078,0.1093,0.1717,0.0676,0.3066,0.0684,0.3313,0.0888,0.0227,0.1069,0.0681,0.1438,0.1165,0.1481,0.0755,0.1488,0.1641,0.1206,0.19,0.1091,0.112,0.107,0.0,0.1692,0.0386,0.2054,0.1088,0.0734,0.615,0.1978,0.0441,0.0636,0.0939,0.1303,0.1411,0.1326,0.0,0.1671,0.1142,0.2897,0.0502,0.1302,0.0497,0.0528,0.0723,0.2879,0.2848,0.2341,0.0781,0.1138,0.1069,0.1496,0.0779,0.0675,0.183,0.0486,0.124,0.0599,0.4104,0.1363,0.2273,0.1002,0.0884,0.0554,0.162,0.1581,0.0901,0.1287,0.2409,0.2238,0.1072,0.267,0.6362,0.0599,0.1152,0.0603,0.2915,0.1142,0.0785,0.126,0.2082,0.1666,0.0,0.1763,0.0551,0.1328,0.0,0.1981,0.1916,0.2124,0.0418,0.4159,0.13,0.0821,0.1478,0.2592,0.0263,0.0843,0.2194,0.0416,0.0412,0.221,0.133,0.1252,0.232,0.2187,0.5492,0.0883,0.1009,0.1546,0.0687,0.0,0.0226,0.2297,0.0215,0.3331,0.3187,0.2468,0.1286,0.1016,0.2028,0.471
1,ENSG00000133519,1.0287,0.4235,8.3183,0.2566,4.1992,4.5738,3.1823,8.943,4.2263,16.0746,17.2421,0.5886,16.0331,5.9511,1.4481,4.0938,1.4755,1.2399,3.7981,0.2538,11.3939,2.0018,11.6585,0.6124,1.8811,1.3648,0.2985,1.1646,8.759,2.8661,1.8218,11.5937,5.8079,1.1194,5.0413,2.0278,5.3477,7.6152,1.5654,4.3714,3.1888,2.5818,3.5808,4.5264,9.1953,8.8669,8.5503,3.0493,0.0,1.4264,4.2056,8.6569,1.6701,4.0937,3.851,2.2273,0.4719,12.7139,10.6855,11.2955,4.7776,12.3977,2.3385,3.2577,3.7218,1.6162,14.0963,9.3684,2.4558,1.6292,1.2845,1.7609,0.2645,0.2353,8.0699,1.2925,5.6263,6.866,1.9177,4.8649,3.7174,1.9373,1.7121,7.128,5.4486,3.4368,6.2966,11.8953,0.9514,8.4519,6.328,3.9439,8.4227,0.0452,5.4613,0.9473,1.7758,1.0264,11.1086,7.1955,11.4144,3.92,0.9915,1.6791,3.2146,5.1871,8.1865,0.492,0.5755,5.2685,3.8551,0.829,5.195,5.3858,5.2506,12.7593,0.3623,0.1356,3.5924,10.0532,7.3776,5.6706,3.9343,4.7001,15.2626,1.6408,5.278,4.8608,8.0377,10.3505,1.6971,5.7195,3.2602,0.2841,10.3397,1.0182,4.0178,21.4163,2.4664,0.0784,3.8198,0.4389,3.4932,2.0342,6.7015,7.7453,6.0656,0.8528,4.1398,2.7458,6.4272,2.7198,1.2218,0.532,3.0969,0.8244,1.3801,3.3881,3.2125,0.3223,2.9218,16.968,1.4609,5.0544,8.9196,6.5148,2.1303,8.5693,4.3844,0.2616,3.6823
2,ENSG00000174028,12.4031,15.1028,28.2602,36.7333,10.222,36.5927,30.4328,54.3052,36.2204,30.3139,16.1111,32.8869,21.9151,44.0487,19.5502,15.5013,11.4793,20.7759,51.5012,22.6594,29.5394,33.9926,42.4345,28.8282,55.2525,17.3866,3.197,20.3744,17.4288,10.5335,20.0044,26.9158,20.8471,13.7636,23.7158,56.2714,11.2082,35.7053,30.3574,27.4409,32.484,13.0571,20.5372,28.1365,20.7434,19.863,26.5283,9.2092,22.5444,30.023,38.078,15.8492,49.6244,27.5111,5.6999,45.7503,19.5866,20.5479,22.8773,18.5172,38.2227,18.4731,10.4473,19.8872,16.9722,12.6842,19.9849,19.1103,26.2784,9.5866,29.9634,13.301,16.3806,21.029,69.2654,13.8781,32.6298,34.205,54.144,8.2481,15.6498,12.9629,18.9321,25.5034,20.7804,15.3545,33.6117,20.0625,25.4438,8.815,28.4997,21.7326,17.2429,10.3131,61.3625,29.0328,37.8753,17.1268,33.4561,25.3939,20.9964,18.5832,18.431,26.2874,36.5525,19.2052,10.2515,46.2062,13.4037,29.3862,20.3111,28.4523,12.4688,23.7685,36.7384,24.3371,35.5534,9.9832,37.6241,21.3543,42.4103,45.7258,16.1878,35.096,9.6782,9.8452,36.1389,16.6162,33.3349,46.2872,56.1685,45.6445,20.7534,13.0176,28.2554,37.4296,27.0422,29.7073,29.2999,13.1712,14.3928,33.2439,18.6181,23.5245,44.1028,6.2755,22.0275,14.5405,8.7176,11.4169,16.0234,27.7881,16.8061,23.3328,45.9407,37.0984,8.3471,21.9879,18.7043,12.4802,10.572,6.2029,35.5231,14.4028,36.9533,18.2511,50.5745,33.6034,23.1053,32.988,57.8592
3,ENSG00000176243,0.1058,0.0,0.0,0.0,0.0,0.0992,0.11,0.0,0.0979,0.2208,0.0,0.0,0.1202,0.1698,0.0,0.0,0.3001,0.0,0.1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.1229,0.0,0.7834,0.0,0.0,0.0,0.0,0.0,0.2768,0.0,0.3736,0.0,0.0,0.0,0.0,0.3025,0.0,0.0,0.2937,0.0,0.4583,0.0,0.0,0.6657,0.0943,0.0,0.0,0.0,0.3133,0.2058,0.1135,0.0,0.1752,0.4526,0.1162,0.0888,0.0,0.234,0.0801,0.0,0.0,0.1016,0.0,0.0912,0.0,0.0879,0.0,0.0,0.0836,0.1101,0.0,0.3467,0.0,0.0,0.0,0.1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1181,0.0,0.1035,0.0,0.0,0.0844,0.0,0.1029,0.0829,0.1892,0.0943,0.0,0.1386,0.0,0.1149,0.0961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3301,0.2486,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.3163,0.0,0.0,0.1378,0.0,0.0,0.0,0.1102,0.0,0.0908,0.0,0.0,0.1023,0.1195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0825,0.4558,0.0,0.0,0.0917,0.095,0.0,0.0937,0.1059,0.0,0.1257,0.0,0.1024,0.0,0.0,0.0,0.3258
4,ENSG00000177173,0.4732,0.5698,0.7408,0.3955,0.1125,0.3167,0.4215,0.5054,0.2501,0.2821,0.9297,0.5987,0.8446,0.6509,0.1279,0.2155,0.4313,0.9915,1.1063,0.5736,0.4075,1.1312,0.9411,0.7256,0.6315,0.7416,0.3244,0.5119,0.5216,0.3163,0.193,0.7743,0.7392,1.0543,0.5698,1.4127,0.4256,26.52,1.0025,0.8039,0.5502,0.2605,0.5256,0.6483,0.5679,0.7158,0.5892,0.2853,0.2869,1.3434,0.2898,0.5688,0.896,0.8128,0.1813,0.439,0.4706,0.7822,0.7087,0.9635,0.6864,0.6796,0.4579,0.6003,0.9201,0.5799,0.8311,0.5036,0.4337,0.1485,0.7939,0.439,0.1495,0.4603,0.4084,1.1532,0.5191,0.5706,0.6991,0.117,0.1685,0.4147,0.6047,0.3205,0.4921,0.2884,0.1476,0.6056,1.152,0.0665,0.4832,0.4616,0.8399,0.4473,0.1696,0.8922,1.1379,0.1381,0.3018,0.0708,0.1983,1.0319,0.4768,0.5391,0.6441,0.5915,0.5293,0.5439,1.0238,0.6027,0.2657,1.054,0.2936,0.4909,0.7543,1.1937,1.251,0.7026,0.7909,0.284,0.5147,0.4919,0.4764,0.9158,0.6389,1.3521,0.6056,0.3468,0.2505,0.6897,0.3786,0.4713,0.6675,0.5838,0.176,0.4542,0.7272,0.4353,0.352,0.2769,0.5802,0.4134,0.3629,0.7838,0.6108,0.2788,0.7451,0.7478,0.2207,0.2185,0.703,0.423,0.4647,0.6833,0.4744,0.5823,0.078,0.3744,0.5856,0.3643,0.1659,0.1197,0.812,0.3983,0.4816,0.6639,0.458,0.5115,0.4713,1.6124,0.6936
5,ENSG00000178082,2.0875,4.3995,2.4511,3.1263,0.4962,2.7249,2.5567,0.9754,2.2066,4.8226,3.2813,2.2744,1.7784,4.7859,2.1153,1.4263,1.8498,1.8226,2.3184,3.3217,1.648,0.9357,3.6731,2.8934,3.0762,3.4352,1.5029,2.6615,2.1095,1.1862,1.4193,4.4012,0.8968,2.754,6.5983,5.7999,1.643,17.6606,2.9269,2.9019,2.2757,0.7902,2.681,2.0801,1.6442,1.8421,2.7078,1.4474,2.0569,1.3678,2.0245,3.4506,10.2774,4.1374,1.7001,4.5197,3.8925,4.181,3.4393,1.594,3.701,3.1344,2.0203,2.7587,1.4498,1.3591,1.9743,2.0986,2.551,1.7197,2.752,2.3403,1.7311,0.9026,3.7535,3.4978,2.29,1.9778,4.5624,1.2903,1.0531,2.1038,5.1449,3.4763,3.4889,1.6967,1.547,2.5604,1.6941,2.1276,1.9796,0.3636,1.158,1.9733,2.0573,5.45,3.0807,2.2846,2.2468,3.4377,1.8952,2.428,1.9723,3.3893,2.7708,2.5371,0.7589,4.6661,2.1256,1.8612,4.5906,3.6167,0.4857,3.5192,3.2355,3.6865,2.8851,1.1271,7.2694,5.1693,1.845,1.6276,2.4521,3.1987,1.057,1.4913,2.5047,1.6831,2.8547,6.0859,1.8789,3.1191,1.9142,2.0121,1.0676,2.171,4.2775,3.441,2.9502,0.4886,1.4719,1.7478,1.5208,1.3687,2.8631,0.7687,3.6161,2.5661,0.9128,1.2052,1.486,2.6438,1.2448,2.2608,2.9068,5.7801,1.4622,0.4719,1.0334,2.1427,0.6863,0.7922,3.1345,0.753,4.3376,2.4629,2.5977,1.5045,2.8217,3.7051,6.426
6,ENSG00000179460,0.0689,0.1162,0.2059,0.0,0.172,0.0,0.0,0.1932,0.0637,0.0,0.0,0.0678,0.0783,0.1106,0.0,0.0732,0.1465,0.0674,0.2256,0.2924,0.2077,0.0721,0.0738,0.0569,0.1609,0.0,0.0661,0.0,0.0591,0.0645,0.1312,0.0,0.1507,0.0566,0.1452,0.0,0.0,1.0202,0.1202,0.0745,0.1402,0.1992,0.2009,0.0601,0.0,0.2432,0.1001,0.2327,0.1462,0.0,0.0,0.0,0.3044,0.0,0.0,0.1492,0.0,0.3067,0.1445,0.0,0.0,0.063,0.0667,0.306,0.0,0.2217,0.1303,0.0,0.1474,0.4541,0.2312,0.0,0.4571,0.1043,0.0694,0.098,0.0661,0.0,0.0594,0.0,0.1718,0.3382,0.0881,0.0545,0.1433,0.098,0.0753,0.0,0.3914,0.1356,0.0,0.0672,0.0714,0.1954,0.2593,0.2798,0.0,0.0,0.1538,0.0722,0.0,0.0,0.1823,0.0,0.1313,0.067,0.054,0.1232,0.0614,0.0,0.3611,0.5969,0.0748,0.0625,0.0854,0.0,0.0,0.0651,0.0,0.2172,0.0656,0.2865,0.0,0.0519,0.1085,0.0,0.0,0.0,0.0,0.1406,0.1286,0.1373,0.0,0.2232,0.0897,0.1543,0.0,0.1479,0.1435,0.0,0.0,0.0702,0.074,0.0666,0.0778,0.0,0.076,0.1694,0.0562,0.0557,0.0597,0.0719,0.0677,0.0697,0.1075,0.0,0.318,0.0545,0.1194,0.0619,0.0423,0.122,0.069,0.058,0.3273,0.0615,0.2001,0.0,0.0,0.0,0.0
7,ENSG00000180221,0.0,0.5317,0.6284,0.4613,0.3935,0.1478,0.4916,0.1474,0.5833,0.329,0.0,0.7758,0.0,1.0122,0.1491,0.3352,0.1118,0.7709,0.2581,0.1673,0.1584,0.1649,0.1689,0.651,0.8593,0.346,0.0,0.3411,0.5408,0.1476,0.1501,0.2779,0.5173,0.1294,1.6613,0.7323,0.9928,8.1705,0.6878,0.1705,0.3209,0.3039,0.4597,0.275,0.4968,0.5566,0.0,0.3993,0.1673,0.7232,0.2253,0.2654,0.2787,0.2917,0.423,1.0241,0.1829,0.7018,0.6613,0.5619,0.3558,0.1441,0.1526,0.4667,0.3066,0.1691,0.4474,0.3916,0.6744,1.5587,0.6614,0.1707,0.523,0.9545,0.1588,0.6725,0.0,0.5704,0.4077,0.5458,0.131,0.9673,0.2015,0.3738,0.3279,0.4485,0.3444,0.4709,1.7915,0.6207,0.4831,0.3076,0.3265,0.2981,0.3955,0.8004,1.2065,0.3221,0.176,0.3305,1.0791,0.1605,0.0,0.7545,0.4508,0.0,0.0,0.4229,0.1405,0.4217,1.0328,0.5464,0.1712,0.0,0.1955,0.5569,0.2653,0.447,0.7687,0.8282,0.3001,0.8196,1.1113,0.2374,0.1242,2.7035,0.0,0.3236,0.779,0.3218,0.5887,0.1571,0.4671,0.3404,0.4105,0.5298,0.6596,0.3385,0.3284,0.2583,0.5414,0.1607,0.1693,0.1524,0.8905,0.1626,0.1738,0.5815,1.0296,0.1274,0.0,0.1645,0.3097,0.3188,0.2459,1.3583,1.2734,0.1247,0.2732,0.0,0.1935,0.2792,0.1578,0.1327,0.3744,0.1408,0.3052,0.1989,0.157,0.1567,0.1618
8,ENSG00000181227,3.4079,2.4833,1.899,1.2392,1.3934,2.8689,2.1609,4.2103,1.4958,2.7721,2.2244,2.2736,1.7058,2.2247,1.0379,0.9822,1.3513,0.9037,3.5924,4.044,2.4955,0.7249,4.7634,2.3847,1.9785,1.6475,0.998,2.8743,1.7334,1.3515,0.4398,1.6286,0.8843,3.5561,1.5823,3.085,1.4548,13.6824,1.2598,2.9352,2.5859,1.1131,1.2912,1.1583,2.305,1.4272,3.1049,1.0239,0.8581,1.7661,1.0731,2.5275,2.4499,1.8698,0.4649,2.126,1.2063,1.0797,2.059,3.3446,2.9325,2.1644,1.3975,1.8808,1.9094,1.6104,1.9666,2.9648,2.7175,2.0302,2.6651,2.0007,4.3429,0.7867,2.7335,1.2318,2.3841,4.179,2.4394,1.1995,2.2078,1.2047,1.6239,1.8259,2.2225,1.2323,2.2708,2.3286,3.9376,0.9094,3.1264,1.0142,3.5288,0.9828,2.6805,2.3457,1.9447,2.714,2.4499,1.5738,1.6942,2.2338,1.6299,1.5663,3.0273,3.7065,1.6734,2.3756,2.4187,2.7294,2.6485,1.7012,1.8814,1.0486,3.3661,1.6321,2.0408,4.912,2.1964,1.7597,4.508,3.783,2.9853,1.0869,1.7742,0.4952,1.3584,2.193,2.1403,2.7111,0.7548,2.1864,1.54,0.873,2.0302,1.2291,3.1413,2.2319,2.7669,0.7098,1.9833,1.5896,2.1085,2.1766,1.5658,0.6551,1.5281,1.704,0.5186,0.887,3.7042,2.4097,2.8932,2.9192,1.7566,1.2439,0.5997,1.7822,3.803,0.5188,1.1698,0.5114,3.0645,0.5834,2.6061,6.601,3.1307,1.9669,1.7259,1.9519,2.0151
9,ENSG00000182921,0.0989,0.0,0.0985,0.0,0.0,0.0,0.1027,0.0924,0.0914,0.1032,0.0,0.1946,0.0,0.1587,0.0,0.0,0.0,0.0,0.1618,0.1049,0.0,0.0,0.1059,0.1633,0.1539,0.0,0.0,0.0,0.0848,0.0,0.0,0.1742,0.0,0.1623,0.625,0.1148,0.3113,0.7319,0.0,0.1069,0.1006,0.1905,0.0,0.0862,0.0,0.0,0.1436,0.0835,0.1049,0.0,0.0,0.0832,0.2621,0.2743,0.0,0.2141,0.0,0.0,0.0,0.0,0.1116,0.0,0.0,0.1463,0.0,0.0,0.0,0.0819,0.0,0.0,0.0,0.3211,0.0,0.0,0.3982,0.1406,0.0,0.1192,0.0,0.0856,0.0,0.0,0.0,0.0781,0.0,0.1406,0.0,0.1476,0.0,0.0,0.2019,0.0,0.0,0.1869,0.124,0.1004,0.1513,0.303,0.0,0.0,0.0,0.0,0.0872,0.0789,0.0,0.0961,0.0774,0.0884,0.1762,0.0882,0.0,0.0,0.0,0.0,0.0,0.3492,0.3327,0.0934,0.3856,0.1039,0.0,0.0,0.2323,0.2233,0.0,0.0,0.0,0.2029,0.0,0.1009,0.0923,0.394,0.0,0.1067,0.0,0.0,0.0591,0.0,0.0,0.0,0.0849,0.0,0.0,0.0955,0.2234,0.1019,0.109,0.1215,0.0,0.0,0.0857,0.3094,0.0,0.0999,0.0771,0.0,0.0,0.1564,0.0857,0.0888,0.0607,0.0875,0.099,0.0832,0.2348,0.0883,0.0957,0.0,0.0,0.0,0.2029
10,ENSG00000183022,0.8514,1.8456,1.6965,1.1861,0.5059,1.4818,1.264,1.9323,2.0249,2.2842,3.6803,1.9151,1.1052,4.4895,1.1503,1.1634,0.9485,2.3788,2.787,1.2902,0.8555,0.7633,1.4329,2.2095,3.5035,2.9356,0.934,1.0526,3.0243,0.7969,1.1577,2.6792,1.0641,2.8954,2.3067,2.2596,1.9146,14.4059,2.6528,1.8411,2.3513,1.2891,1.5368,0.8484,1.405,4.2932,1.9438,1.9507,1.6778,2.9752,1.5645,2.4565,4.0842,2.5875,1.3052,3.4234,1.9756,1.7323,3.0605,1.0835,2.0584,2.6679,1.1771,1.2602,1.1826,1.1738,1.2654,2.4167,2.6011,1.2023,1.8367,1.3165,3.7656,1.1964,1.9595,1.3834,1.1675,0.7333,3.0402,0.9472,0.9096,1.7907,2.4869,1.9225,1.8973,2.076,3.4535,1.0897,3.4548,1.556,2.1116,0.3559,3.4005,1.1497,1.6781,3.4577,3.7228,0.9939,1.3576,1.7845,2.1405,3.5897,1.8233,3.7833,2.3181,1.5373,2.0,1.5225,0.5418,0.976,2.2308,2.5287,0.9244,1.4353,1.3573,2.1479,2.6604,1.3791,3.0834,2.0444,1.7365,2.1495,4.2861,1.6479,1.0538,2.433,2.4518,1.2481,2.2535,2.1098,3.6329,4.9675,2.0419,1.707,2.2167,4.9041,1.9627,3.2638,1.0133,1.096,1.8793,3.0993,1.4364,2.9381,1.9233,0.7524,2.6815,2.5417,1.9856,0.8848,1.5811,1.3954,2.3892,2.09,2.1814,2.6194,1.5436,2.2133,3.2665,1.7478,1.1943,0.4308,1.9481,1.1261,3.6104,1.7375,1.7658,1.0738,2.0594,2.176,2.7457
11,ENSG00000183458,2.1024,1.153,2.241,1.5983,0.5924,2.0127,1.1159,2.7464,0.4914,3.4789,1.5235,2.1802,2.2854,0.6349,0.759,0.2162,1.4584,0.7737,2.183,4.7962,3.2595,0.5202,4.3098,2.8001,0.5896,0.3472,0.4123,2.3966,0.7269,0.2962,0.0753,1.1553,0.4697,1.5588,0.5716,1.0762,2.0284,8.2,0.5325,4.1552,1.2536,0.3485,0.5163,1.1531,1.2701,0.7581,2.2169,0.6011,1.7871,0.3975,0.3877,3.0438,0.5494,0.9305,0.091,1.5173,0.118,0.483,2.5361,2.7389,1.5686,1.6013,0.9626,1.6395,0.5495,3.8787,3.5599,3.4811,1.5712,0.4966,1.8112,0.1713,5.0617,0.4704,2.6177,1.0767,1.2803,7.3466,0.9158,0.3912,1.0801,0.6102,0.91,1.2774,2.6565,0.8521,1.3702,1.4683,0.899,0.0556,3.5208,0.419,3.7454,1.3249,1.3752,0.6656,0.9255,1.6049,1.3626,1.0306,2.3649,1.829,0.9569,0.6942,2.9406,3.286,1.7171,1.9606,8.8319,3.366,2.0435,1.0575,0.81,0.9542,3.5179,1.3175,2.111,6.2694,0.7605,1.0331,3.4642,3.3607,1.8588,1.591,1.2018,0.2584,1.3038,1.0207,2.178,2.053,0.5381,0.4842,1.0046,0.4027,1.7363,0.4051,2.209,2.5963,2.566,0.3611,1.7659,1.0369,2.1237,0.7645,1.5703,0.4079,1.8441,1.7785,0.3414,0.2375,1.7926,1.5797,2.4646,1.8738,0.6346,0.3895,0.0391,0.6349,2.5068,0.9441,0.3468,0.3503,2.3309,0.2664,1.6642,7.5588,2.1443,2.1669,0.9907,1.3594,1.7629
12,ENSG00000183935,1.7198,3.3032,3.7271,3.579,1.6519,5.367,3.5008,1.7895,1.6399,2.3123,2.5849,2.1461,5.2765,2.6747,2.6662,2.2236,2.1116,2.514,8.6185,4.8901,2.5653,2.9485,2.7345,3.1038,5.7559,2.9177,0.902,2.9921,3.9678,2.8708,1.4008,4.093,2.5787,4.0606,3.5867,2.5733,1.2838,4.8562,6.6357,3.6998,2.7782,1.7938,3.4119,5.7661,2.0295,2.8163,5.3063,1.4517,0.7337,2.819,7.6272,4.4313,0.94,5.2477,7.4204,3.9539,0.9051,5.666,3.6063,0.7739,2.1204,2.8358,2.0591,2.2568,1.7928,2.2625,2.9345,2.8917,2.3129,2.6096,3.6294,6.3716,6.2538,1.9184,3.8561,2.5207,3.2847,3.8697,3.5454,2.8843,1.5764,1.1747,1.8126,3.517,2.821,0.9835,3.6015,2.9915,4.8347,1.6052,2.2453,3.4763,2.3316,1.1564,3.269,4.3743,4.8299,4.1111,1.6624,4.4407,3.7789,3.3021,2.4546,3.4079,2.6358,4.7406,2.3046,3.1071,0.9162,2.7347,4.4597,0.983,1.6555,2.6717,1.2311,2.818,1.6109,1.9769,3.665,3.2223,3.2232,2.4699,1.4995,2.8426,3.6447,4.0026,1.9061,3.0566,6.4386,3.0575,3.7235,1.5719,3.6768,0.7465,1.7541,9.5715,2.8928,3.7871,3.1203,2.382,5.6921,3.1807,1.1041,6.6984,3.1641,1.5904,4.9252,4.6641,1.8379,1.4187,2.8887,2.7368,1.8807,3.3155,4.1201,0.9928,2.2501,6.13,2.1197,1.1624,2.9923,2.0723,2.9285,3.0444,6.1261,4.2741,3.9298,1.2075,2.3133,4.4761,2.6925
13,ENSG00000186676,0.4817,1.4211,0.4199,0.2936,0.1502,0.6206,0.8134,0.2251,1.6149,0.4397,0.8281,0.948,0.6839,1.9324,0.1139,0.7679,2.5609,0.8831,2.0693,0.3832,0.4234,0.9446,0.5803,0.4971,0.7031,1.1889,0.4623,0.5862,1.1357,0.3944,1.0315,1.4323,0.5267,0.5436,0.8881,0.5592,0.5686,4.9025,0.5252,0.3906,0.5513,0.7541,0.6437,0.4199,0.6955,2.5502,0.4373,1.7787,0.575,0.7364,0.7744,0.5066,1.7557,0.5012,1.1307,1.8249,2.2353,1.6078,0.8837,0.2682,1.834,0.9354,0.9905,1.0693,1.2878,1.4203,0.968,0.4984,0.6438,0.9258,0.5051,0.8472,1.4645,1.3211,0.3637,1.7119,0.2312,0.2904,0.3632,0.4168,0.9005,0.5909,0.2308,0.4282,0.4383,0.942,0.263,0.1798,1.3681,0.3555,0.8608,0.2936,0.8104,1.5935,1.2838,0.5501,1.4742,1.0455,1.344,0.2524,0.5886,1.4093,0.3716,1.1524,0.8032,0.5268,1.32,1.2381,0.59,1.2346,1.1831,0.6258,0.719,0.2186,0.8958,1.9138,0.6078,1.4222,2.1133,0.6325,1.2034,2.2532,1.1315,0.9517,1.0432,1.5484,1.3485,0.4325,0.7437,1.9044,1.0677,2.099,0.9513,1.4299,3.2917,0.472,0.5397,0.517,1.0658,3.5018,0.9819,0.3682,0.711,1.2798,0.884,0.3104,0.73,0.5181,1.032,0.292,0.2087,0.5651,0.7687,0.7911,2.7699,1.8152,0.4862,1.0956,0.8867,1.46,0.1478,0.2132,0.9643,0.9122,1.7157,0.5375,1.3985,2.2021,0.6596,2.4535,0.4942
14,ENSG00000187534,6.193,11.6346,11.1057,5.8666,5.446,6.467,7.7228,6.2835,8.019,7.7535,9.2477,8.532,9.4462,12.2104,8.1997,7.5223,10.7875,8.4783,6.0815,4.6925,10.8447,9.0682,12.8865,10.2274,11.4332,10.8705,5.605,7.0822,15.4746,7.7834,8.2527,12.1603,12.3835,10.8934,19.0154,12.5323,6.6847,64.1806,14.6646,10.3306,8.6415,8.6948,6.0189,8.9478,9.4765,9.993,11.0537,8.0652,7.8857,11.3614,4.8047,8.9338,12.352,11.1287,15.4278,9.9603,8.4169,9.2929,10.3888,5.044,10.1811,7.4389,5.4796,8.6423,7.2255,6.0716,6.0244,11.5724,7.5678,10.3004,6.383,11.2999,7.0432,7.2297,15.6782,15.345,7.1334,6.4009,11.438,8.5741,5.1459,7.381,10.4014,11.1868,9.2003,8.0534,8.1158,4.2271,11.0569,8.1837,11.3841,5.0053,4.5804,5.0178,8.2115,14.0123,12.0502,6.3258,4.5424,8.1588,11.4175,11.5247,7.4893,18.6279,7.2504,7.2254,5.4035,9.9667,5.0446,4.7327,15.2992,6.7442,5.187,12.3675,5.7043,10.6241,12.5037,10.3657,17.77,22.4917,6.5679,9.5651,12.4704,9.4562,8.3615,13.6518,5.1519,8.3521,11.1462,16.0686,8.0925,14.2766,11.1826,8.4046,5.5281,15.8539,12.2667,8.1666,6.6333,6.0879,13.9735,4.8695,8.5486,15.5579,9.593,6.5675,12.4831,5.2201,10.8318,7.2936,6.4403,7.1971,7.2989,9.1215,10.3482,9.9075,6.5324,8.5393,5.8249,17.4805,7.3841,7.3636,7.085,10.2763,19.7486,11.8483,5.6514,8.257,8.9878,19.1694,13.6169
